Sample,S,N,J',H'(loge),1-Lambda',,Month,Rep,Trt_Nut,Trt_Shell,Trt,Core
NHS0 6 9.05,7,103,0.731717195,1.423855916,0.718256235,,2,6,H,0,NHS0,136
NHSL 6 9.05,8,120,0.715803094,1.48847069,0.739495798,,2,6,H,L,NHSL,137
NHSH 6 9.05,6,77,0.769981166,1.379621046,0.698906357,,2,6,H,H,NHSH,138
PC 6 9.05,8,72,0.816399838,1.697655738,0.777386541,,2,6,0,0,PC,139
UC 6 9.05,6,103,0.886095054,1.587669204,0.781648582,,2,6,UC,UC,UC,140
N0SL 7 9.05,5,49,0.765665283,1.232290735,0.642006803,,2,7,0,L,N0SL,141
N0SH 7 9.05,7,45,0.670316416,1.304375517,0.671717172,,2,7,0,H,N0SH,142
NLS0 7 9.05,7,41,0.917778842,1.785915163,0.826829268,,2,7,L,0,NLS0,143
NLSL 7 9.05,5,51,0.626431639,1.00820283,0.523137255,,2,7,L,L,NLSL,144
NLSH 7 9.05,8,63,0.708333593,1.472938298,0.697900666,,2,7,L,H,NLSH,145
NHS0 7 9.05,6,82,0.816104707,1.462263337,0.750376393,,2,7,H,0,NHS0,146
NHSL 7 9.05,7,51,0.70817267,1.378040386,0.648627451,,2,7,H,L,NHSL,147
NHSH 7 9.05,6,62,0.851027385,1.524836375,0.757800106,,2,7,H,H,NHSH,148
PC 7 9.05,6,52,0.76388122,1.36869141,0.719457014,,2,7,0,0,PC,149
UC 7 9.05,7,63,0.763141234,1.485004272,0.747567844,,2,7,UC,UC,UC,150
N0SL 8 9.06,8,139,0.662470328,1.377568321,0.665832551,,2,8,0,L,N0SL,151
N0SH 8 9.06,6,83,0.850350683,1.523623888,0.747575669,,2,8,0,H,N0SH,152
NLS0 8 9.06,8,71,0.67386662,1.401266243,0.679678068,,2,8,L,0,NLS0,153
NLSL 8 9.06,8,106,0.731619633,1.521360258,0.725786164,,2,8,L,L,NLSL,154
NLSH 8 9.06,7,60,0.643811127,1.252798607,0.59039548,,2,8,L,H,NLSH,155
NHS0 8 9.06,7,116,0.64558019,1.256241043,0.643028486,,2,8,H,0,NHS0,156
NHSL 8 9.06,6,70,0.839015166,1.503313369,0.763561077,,2,8,H,L,NHSL,157
NHSH 8 9.06,6,78,0.824453062,1.477221581,0.756576757,,2,8,H,H,NHSH,158
PC 8 9.06,7,74,0.617196956,1.20100982,0.605701592,,2,8,0,0,PC,159
UC 8 9.06,6,101,0.880848649,1.578268908,0.77960396,,2,8,UC,UC,UC,160
