Sample,Date,Month,Site,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
CL12.18.09.20,9/18/2020,September,CL,12,"Medium Sand,Very Poorly Sorted,Fine Skewed,Very Leptokurtic",324.86,5.275,-0.174,1.926,1.591,2.399,0.174,1.926,2165.399,357.898,30.576,0.014,-2134.823,0.244,-500.724,2.024,-1.017,Gravelly Muddy Sand,0,10.62,77.281,12.099,0,0,0,0,5.213,5.407,7.243,15.373,34.754,11.17,8.742,0,12.099
CL15.18.09.20,9/18/2020,September,CL,15,"Medium Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic",339.771,3.725,-0.223,2.304,1.733,1.897,0.223,2.304,1251.582,338.992,68.735,0.055,-1182.847,0.368,-319.346,1.648,-0.72,Gravelly Sand,0,6.75,84.321,8.928,0,0,0,0,2.985,3.765,4.806,13.735,44.07,13.282,8.428,0,8.928
LL1.18.09.20,9/18/2020,September,LL,1,"Coarse Sand,Very Poorly Sorted,Symmetrical,Platykurtic",761.142,5.931,0.002,0.702,0.778,2.568,-0.002,0.702,5352.275,532.226,72.097,0.013,-5280.178,0.043,-2666.276,4.805,-2.265,Sandy Gravel,0,32.12,61.806,6.074,0,0,0,0,17.246,14.875,10.295,8.304,13.429,9.833,19.945,0,6.074
LL2.18.09.20,9/18/2020,September,LL,2,"Coarse Sand,Very Poorly Sorted,Symmetrical,Very Platykurtic",1654.465,5.056,-0.098,0.649,0.374,2.338,0.098,0.649,5682.792,861.673,86.193,0.015,-5596.6,0.055,-3053.554,4.272,-2.095,Sandy Gravel,0,35.622,60.858,3.519,0,0,0,0,20.268,15.355,12.26,9.649,10.214,14.569,14.167,0,3.519
LL3.18.09.20,9/18/2020,September,LL,3,"Coarse Sand,Very Poorly Sorted,Symmetrical,Very Platykurtic",1072.066,4.979,-0.026,0.665,0.638,2.316,0.026,0.665,5101.672,671.778,80.213,0.016,-5021.459,0.06,-2491.062,4.095,-2.034,Sandy Gravel,0,31.542,64.644,3.814,0,0,0,0,15.408,16.134,11.931,11.243,13.143,10.78,17.547,0,3.814
LL8.18.09.20,9/18/2020,September,LL,8,"Fine Sand,Very Poorly Sorted,Symmetrical,Leptokurtic",32.155,7.65,0.099,1.385,2.714,2.935,-0.099,1.385,2112.921,114.23,7.744,0.004,-2105.177,0.118,-519.12,2.912,-1.542,Gravelly Muddy Sand,0,10.476,69.401,20.123,0,0,0,0,4.465,6.012,6.977,10.723,7.472,9.829,34.401,0,20.123
LL12.18.09.20,9/18/2020,September,LL,12,"Medium Sand,Very Poorly Sorted,Coarse Skewed,Mesokurtic",185.422,9.52,0.206,0.932,1.413,3.251,-0.206,0.932,5835.56,189.052,12.543,0.002,-5823.017,0.036,-2112.896,5.287,-2.403,Gravelly Muddy Sand,0,25.46,58.218,16.322,0,0,0,0,21.972,3.488,4.304,6.547,9.324,10.83,27.214,0,16.322
LL15.18.09.20,9/18/2020,September,LL,15,"Medium Sand,Very Poorly Sorted,Coarse Skewed,Leptokurtic",178.008,6.178,0.115,1.39,1.778,2.627,-0.115,1.39,3175.395,213.67,32.288,0.01,-3143.107,0.134,-586.888,2.734,-1.451,Gravelly Muddy Sand,0,14.191,73.898,11.911,0,0,0,0,7.907,6.284,6.411,7.834,17.633,17.351,24.669,0,11.911
POCO2.18.09.20,9/18/2020,September,POCO,2,"Medium Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic",124.778,9.157,-0.205,1.104,1.846,3.195,0.205,1.104,3219.868,331.885,8.067,0.003,-3211.801,0.064,-1216.352,3.951,-1.982,Gravelly Muddy Sand,0,18.106,62.16,19.734,0,0,0,0,6.307,11.799,11.085,11.068,16.476,10.579,12.952,0,19.734
POCO4.18.09.20,9/18/2020,September,POCO,4,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",33.292,7.84,-0.263,1.407,2.782,2.971,0.263,1.407,1481.721,205.396,5.797,0.004,-1475.924,0.128,-458.931,2.795,-1.483,Gravelly Muddy Sand,0,6.935,69.67,23.395,0,0,0,0,2.776,4.159,7.083,11.906,20.002,14.372,16.307,0,23.395
