Date,Date_est,Year,Site,Core,Month,Region,Nematoda spp.,Clitellio arenarius,Tubificoides benedii,Mya arenaria,Gammarus oceanicus,Gemma gemma,Culicidae sp. larvae,Littorina littorea,Eteone longa,Jaera albifrons,Cerebratulus spp.,Ostracoda spp.,Macoma petalum,Hydrobiidae spp.,Mytilus edulis,Hediste diversicolor,Gammaridae spp.,Streblospio benedicti,Insecta larvae,Nephtys picta,Copepoda spp.,Spio filicolnis,Polydora cornuta,Corophium volutator,Crangon septemdpinosa,pH 0,pH 0.5,pH 1.0,pH 1.5,z_pH 1.5,pH 2.0,pH 2.5,pH 3.0,sedpH_all,sedpH_surf,temp_water,ztemp_water,temp_sed,salinity,zsalinity,alk_water,zalk_water,alk_sed,zalk_sed,org_matter,zorg_matter,carb,zcarb,mean_grain,zmean_grain,sorting,zsorting,skewness,zskewness,kurtosis,zkurtosis,mean_um,sorting_um,skewness_um,kurtosis_um,mud_perc,sand_perc,SpecRich,Abund,Simpson,Evenness,Shannon,Shannon_trans,Gini-Simpson,pH0_avg,pH0.5_avg,pH1.0_avg,pH1.5_avg,zpH1.5_avg,pH2.0_avg,pH2.5_avg,pH3.0_avg,sedpH_avg,sedpHsurf_avg,tempwater_avg,ztempwater_avg,tempsed_avg,sal_avg,zsal_avg,alkwater_avg,zalkwater_avg,alksed_avg,zalksed_avg,orgmatt_avg,zorgmatt_avg,carb_avg,zcarb_avg,meangrain_avg,zmeangrain_avg,sorting_avg,zsorting_avg,skewness_avg,zskewness_avg,kurtosis_avg,zkurtosis_avg,mud_percavg,sand_percavg
5.28.21,LateMay,2021,CAF,2,May,Gulf,0,7,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7.556666667,7.593333333,7.646666667,7.746666667,1.024618195,7.71,7.76,7.813333333,7.68952381,7.650666667,15,-0.442460043,16,35,1.113108869,NA,NA,NA,NA,0.727,-0.942324163,1.704235594,0.444430118,1.4,0.327899453,1,1.115395474,-0.279,-0.654987634,1.926,1.749909432,708.078,2,0.279,1.926,0.36,93.748,4,14,1.136769545,0.844695873,1.170997126,0.585498563,0.692307692,7.516,7.650666667,7.734,7.74,1.328657125,7.749333333,7.877333333,8.063666667,7.761571429,7.678,15,-0.467410849,15.44,35,1.174480295,NA,NA,NA,NA,2.36087143,0.157582877,1.53437364,0.42096549,1.141,0.020342478,0.8178,-1.103589277,-0.349,-0.918492737,1.2682,0.159754201,0.0866,96.9562
5.28.21,LateMay,2021,CAF,5,May,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,7.683333333,7.773333333,7.776666667,1.090615282,7.883333333,7.843333333,7.806666667,7.760952381,7.735333333,15,-0.442460043,14,35,1.113108869,NA,NA,NA,NA,0.727,-0.942324163,1.704235594,0.444430118,1.036,-0.148625163,0.817,0.911278102,-0.401,-1.087673511,1.106,-0.245488317,1234.393,1.762,0.401,1.106,0.016,97.39,0,0,NA,NA,0,0,NA,7.516,7.650666667,7.734,7.74,1.328657125,7.749333333,7.877333333,8.063666667,7.761571429,7.678,15,-0.467410849,15.44,35,1.174480295,NA,NA,NA,NA,2.36087143,0.157582877,1.53437364,0.42096549,1.141,0.020342478,0.8178,-1.103589277,-0.349,-0.918492737,1.2682,0.159754201,0.0866,96.9562
5.28.21,LateMay,2021,CAF,6,May,Gulf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.183333333,7.403333333,7.473333333,7.5,0.481975477,7.596666667,7.97,7.865,7.570238095,7.431333333,15,-0.442460043,13.5,35,1.113108869,NA,NA,NA,NA,4.775,1.736774883,1.377473713,0.136473886,1.036,-0.148625163,0.817,0.911278102,-0.401,-1.087673511,1.106,-0.245488317,1234.393,1.762,0.401,1.106,0.016,97.39,1,1,NA,NA,0,0,NA,7.516,7.650666667,7.734,7.74,1.328657125,7.749333333,7.877333333,8.063666667,7.761571429,7.678,15,-0.467410849,15.44,35,1.174480295,NA,NA,NA,NA,2.36087143,0.157582877,1.53437364,0.42096549,1.141,0.020342478,0.8178,-1.103589277,-0.349,-0.918492737,1.2682,0.159754201,0.0866,96.9562
5.28.21,LateMay,2021,CAF,8,May,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,7.74,7.903333333,7.796666667,1.134613341,7.746666667,7.883333333,8.713333333,7.909047619,7.753333333,15,-0.442460043,17,35,1.113108869,NA,NA,NA,NA,4.775,1.736774883,1.377473713,0.136473886,1.036,-0.148625163,0.817,0.911278102,-0.401,-1.087673511,1.106,-0.245488317,1234.393,1.762,0.401,1.106,0.016,97.39,0,0,NA,NA,0,0,NA,7.516,7.650666667,7.734,7.74,1.328657125,7.749333333,7.877333333,8.063666667,7.761571429,7.678,15,-0.467410849,15.44,35,1.174480295,NA,NA,NA,NA,2.36087143,0.157582877,1.53437364,0.42096549,1.141,0.020342478,0.8178,-1.103589277,-0.349,-0.918492737,1.2682,0.159754201,0.0866,96.9562
5.28.21,LateMay,2021,CAF,24,May,Gulf,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7,7.833333333,7.873333333,7.88,1.317938582,7.81,7.93,8.12,7.878095238,7.819333333,15,-0.442460043,16.7,35,1.113108869,NA,NA,NA,NA,0.8,-0.894374804,1.508449586,0.259911896,1.197,0.06214534,0.638,0.711622313,-0.263,-0.598241945,1.097,-0.267389024,1080.722,1.557,0.263,1.097,0.025,98.863,2,3,0.910239227,0.918295834,0.636514168,0.318257084,0.666666667,7.516,7.650666667,7.734,7.74,1.328657125,7.749333333,7.877333333,8.063666667,7.761571429,7.678,15,-0.467410849,15.44,35,1.174480295,NA,NA,NA,NA,2.36087143,0.157582877,1.53437364,0.42096549,1.141,0.020342478,0.8178,-1.103589277,-0.349,-0.918492737,1.2682,0.159754201,0.0866,96.9562
5.28.21,LateMay,2021,CAL,1,May,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.183333333,7.316666667,7.263333333,7.253333333,-0.060667242,7.106666667,7.14,7.573333333,7.262380952,7.224666667,17.3,-0.042949842,12.7,28,0.390233825,NA,NA,NA,NA,1.147,-0.664772526,1.581608655,0.328860548,1.132,-0.022948341,1.052,1.173396039,-0.364,-0.956449106,1.484,0.674341377,979.093,2.074,0.364,1.484,0.616,93.19,0,0,NA,NA,0,0,NA,6.751666667,6.837222222,6.877777778,6.863888889,-1.295248762,6.869444444,6.85,7.221111111,6.895873016,6.84,17.3,-0.047752297,12.65,28,0.411479721,NA,NA,NA,NA,1.038110317,-0.822886512,1.467195517,0.327628601,1.060666667,-0.127538012,1.070333333,-0.801541201,-0.383666667,-1.072810161,1.429,0.685558847,0.296333333,92.804
5.28.21,LateMay,2021,CAL,5,May,Gulf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,6.966666667,7.05,6.993333333,-0.632641999,7.06,7.04,7.113333333,6.981904762,6.944,17.3,-0.042949842,13.7,28,0.390233825,NA,NA,NA,NA,1.147,-0.664772526,1.581608655,0.328860548,1.132,-0.022948341,1.052,1.173396039,-0.364,-0.956449106,1.484,0.674341377,979.093,2.074,0.364,1.484,0.616,93.19,1,1,NA,NA,0,0,NA,6.751666667,6.837222222,6.877777778,6.863888889,-1.295248762,6.869444444,6.85,7.221111111,6.895873016,6.84,17.3,-0.047752297,12.65,28,0.411479721,NA,NA,NA,NA,1.038110317,-0.822886512,1.467195517,0.327628601,1.060666667,-0.127538012,1.070333333,-0.801541201,-0.383666667,-1.072810161,1.429,0.685558847,0.296333333,92.804
5.28.21,LateMay,2021,CAL,12,May,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.543333333,6.74,6.8,6.9,-0.837966269,6.843333333,6.813333333,6.836666667,6.782380952,6.765333333,17.3,-0.042949842,11.4,28,0.390233825,NA,NA,NA,NA,1.166,-0.651701542,1.399523351,0.157254533,1.053,-0.126369893,1.025,1.143280361,-0.347,-0.896156812,1.333,0.306896182,1123.626,2.035,0.347,1.333,0.264,93.719,0,0,NA,NA,0,0,NA,6.751666667,6.837222222,6.877777778,6.863888889,-1.295248762,6.869444444,6.85,7.221111111,6.895873016,6.84,17.3,-0.047752297,12.65,28,0.411479721,NA,NA,NA,NA,1.038110317,-0.822886512,1.467195517,0.327628601,1.060666667,-0.127538012,1.070333333,-0.801541201,-0.383666667,-1.072810161,1.429,0.685558847,0.296333333,92.804
5.28.21,LateMay,2021,CAL,13,May,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,6.51,6.603333333,6.55,-1.607932288,6.596666667,6.43,6.576666667,6.536666667,6.55,17.3,-0.042949842,11.9,28,0.390233825,NA,NA,NA,NA,1.166,-0.651701542,1.399523351,0.157254533,1.053,-0.126369893,1.025,1.143280361,-0.347,-0.896156812,1.333,0.306896182,1123.626,2.035,0.347,1.333,0.264,93.719,0,0,NA,NA,0,0,NA,6.751666667,6.837222222,6.877777778,6.863888889,-1.295248762,6.869444444,6.85,7.221111111,6.895873016,6.84,17.3,-0.047752297,12.65,28,0.411479721,NA,NA,NA,NA,1.038110317,-0.822886512,1.467195517,0.327628601,1.060666667,-0.127538012,1.070333333,-0.801541201,-0.383666667,-1.072810161,1.429,0.685558847,0.296333333,92.804
5.28.21,LateMay,2021,CAL,21,May,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.493333333,6.543333333,6.73,6.693333333,-1.292612872,6.623333333,6.65,7.566666667,6.757142857,6.616666666,17.3,-0.042949842,14,28,0.390233825,NA,NA,NA,NA,0.802,-0.893083925,1.420454545,0.176981105,0.997,-0.199681372,1.134,1.264858468,-0.44,-1.225991128,1.47,0.64027361,1140.872,2.195,0.44,1.47,0.009,91.503,0,0,NA,NA,0,0,NA,6.751666667,6.837222222,6.877777778,6.863888889,-1.295248762,6.869444444,6.85,7.221111111,6.895873016,6.84,17.3,-0.047752297,12.65,28,0.411479721,NA,NA,NA,NA,1.038110317,-0.822886512,1.467195517,0.327628601,1.060666667,-0.127538012,1.070333333,-0.801541201,-0.383666667,-1.072810161,1.429,0.685558847,0.296333333,92.804
