Sample,Date,Month,Site,Location,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
LL22.8.25.2021,8.25.2021,August,LL,End,22,"Coarse Sand,Very Poorly Sorted,Very Coarse Skewed,Mesokurtic",605.019,4.007,0.607,0.986,0.978,2.002,-0.607,0.986,4881.491,252.106,146.413,0.03,-4735.078,0.17,-890.869,2.423,-1.277,Gravelly Sand,0,19.98,78.337,1.683,0,0,0,0,14.032,5.949,5.594,7.844,16.785,39.428,8.687,0,1.683
LL13.8.25.2021,8.25.2021,August,LL,Mid,13,"Fine Sand,Very Poorly Sorted,Fine Skewed,Very Leptokurtic",43.927,5.28,-0.272,2.412,2.831,2.4,0.272,2.412,868.855,177.739,8.491,0.01,-860.364,0.338,-162.189,1.721,-0.783,Slightly Gravelly Muddy Sand,0,4.01,76.723,19.267,0,0,0,0,1.236,2.774,4.442,7.609,7.337,38.8,18.534,0,19.267
LL4.8.25.2021,8.25.2021,August,LL,Start,4,"Fine Sand,Poorly Sorted,Very Coarse Skewed,Very Leptokurtic",249.975,2.189,0.494,2.987,2.018,1.13,-0.494,2.987,874.524,205.995,126.882,0.145,-747.642,0.63,-98.87,1.26,-0.333,Gravelly Sand,0,6.049,93.367,0.584,0,0,0,0,3.009,3.041,2.983,5.852,11.186,61.5,11.845,0,0.584
Poco21.8.25.2021,8.25.2021,August,Poco,End,21,"Medium Sand,Poorly Sorted,Coarse Skewed,Leptokurtic",220.553,2.823,0.206,1.176,1.929,1.497,-0.206,1.176,1229.762,240.251,80.48,0.065,-1149.282,0.289,-351.048,1.859,-0.894,Gravelly Sand,0,5.807,90.585,3.609,0,0,0,0,2.153,3.653,5.977,12.811,23.372,25.436,22.988,0,3.609
Poco15.5.8.25.2021,8.25.2021,August,Poco,Mid,15.5,"Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic",26.711,7.694,-0.319,1.495,2.97,2.944,0.319,1.495,1207.276,206.024,5.315,0.004,-1201.961,0.142,-390.219,2.654,-1.408,Gravelly Muddy Sand,0,6.741,68.665,24.594,0,0,0,0,3.221,3.52,4.475,10.913,20.994,17.687,14.596,0,24.594
Poco2.8.25.2021,8.25.2021,August,Poco,Start,2,"Medium Sand,Poorly Sorted,Coarse Skewed,Very Leptokurtic",358.001,2.591,0.264,1.555,1.721,1.373,-0.264,1.555,1188.007,265.624,97.024,0.082,-1090.984,0.368,-302.243,1.649,-0.722,Gravelly Sand,0,6.756,88.781,4.463,0,0,0,0,3.548,3.208,4.318,12.013,29.493,31.665,11.292,0,4.463
RH19.8.25.2021,8.25.2021,August,RH,End,19,"Medium Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",387.839,2.532,0.703,1.132,1.561,1.34,-0.703,1.132,1953.746,229.089,160.123,0.082,-1793.623,0.316,-397.171,1.78,-0.832,Gravelly Sand,0,9.789,90.11,0.101,0,0,0,0,4.409,5.38,6.265,11.567,12.624,55.569,4.085,0,0.101
RH14.5.8.25.2021,8.25.2021,August,RH,Mid,14.5,"Medium Sand,Poorly Sorted,Very Coarse Skewed,Very Leptokurtic",205.926,3.435,0.412,1.501,1.876,1.78,-0.412,1.501,2919.041,208.533,79.349,0.027,-2839.692,0.302,-324.541,1.82,-0.864,Gravelly Sand,0,12.042,84.029,3.93,0,0,0,0,8.299,3.743,3.656,7.908,13.262,36.029,23.173,0,3.93
RH9.8.25.2021,8.25.2021,August,RH,Start,9,"Fine Sand,Poorly Sorted,Symmetrical,Very Leptokurtic",60.652,3.594,0.058,2.145,2.752,1.845,-0.058,2.145,655.338,124.23,23.607,0.036,-631.731,0.35,-145.784,1.691,-0.758,Slightly Gravelly Muddy Sand,0,3.161,83.758,13.082,0,0,0,0,1.437,1.723,2.382,7.893,7.637,17.958,47.888,0,13.082
CL24.9.23.2021,9.23.2021,September,CL,End,24,"Medium Sand,Moderately Well Sorted,Coarse Skewed,Leptokurtic",1085.195,1.618,0.284,1.211,1.191,0.694,-0.284,1.211,885.293,422.993,273.108,0.308,-612.185,0.548,-265.057,1.35,-0.433,Slightly Gravelly Sand,0,3.03,96.941,0.028,0,0,0,0,0.711,2.32,5.062,26.615,63.375,1.821,0.068,0,0.028
CL12.5.9.23.2021,9.23.2021,September,CL,Mid,12.5,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Very Leptokurtic",1450.78,2.058,0.332,1.865,0.969,1.041,-0.332,1.865,1825.791,495.237,280.507,0.154,-1545.284,0.516,-325.962,1.392,-0.478,Gravelly Sand,0,9.498,90.485,0.017,0,0,0,0,8.496,1.002,3.817,36.011,48.776,1.826,0.055,0,0.017
CL1.9.23.2021,9.23.2021,September,CL,Start,1,"Medium Sand,Moderately Sorted,Coarse Skewed,Very Leptokurtic",1118.726,1.834,0.294,1.586,1.167,0.875,-0.294,1.586,957.695,439.386,265.79,0.278,-691.905,0.52,-295.767,1.386,-0.471,Gravelly Sand,0,6.235,93.686,0.079,0,0,0,0,4.264,1.97,3.027,30.455,55.157,4.755,0.292,0,0.079
LL24.9.23.2021,9.23.2021,September,LL,End,24,"Fine Sand,Very Poorly Sorted,Coarse Skewed,Mesokurtic",46.757,10.735,0.102,1.021,2.241,3.424,-0.102,1.021,4159.352,142.84,7.036,0.002,-4152.316,0.045,-1475.974,4.688,-2.229,Gravelly Muddy Sand,0,21.991,56.908,21.101,0,0,0,0,10.597,11.394,8.106,5.872,3.882,7.954,31.093,0,21.101
LL8.5.9.23.2021,9.23.2021,September,LL,Mid,8.5,"Medium Sand,Very Poorly Sorted,Coarse Skewed,Mesokurtic",248.536,7.202,0.118,0.999,1.441,2.848,-0.118,0.999,4089.334,245.687,30.839,0.008,-4058.494,0.058,-1548.742,4.16,-2.056,Gravelly Muddy Sand,0,21.882,66.049,12.069,0,0,0,0,10.329,11.553,11.017,7.722,9.009,10.577,27.724,0,12.069
LL1.9.23.2021,9.23.2021,September,LL,Start,1,"Coarse Sand,Very Poorly Sorted,Symmetrical,Mesokurtic",582.092,8.211,-0.082,0.929,0.892,3.038,0.082,0.929,5512.04,470.825,26.004,0.005,-5486.036,0.042,-2798.606,4.873,-2.285,Muddy Sandy Gravel,0,32.712,54.592,12.696,0,0,0,0,18.608,14.104,9.211,7.204,10.063,11.921,16.193,0,12.696
Poco18.9.23.2021,9.23.2021,September,Poco,End,18,"Medium Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",228.235,9.566,-0.17,1.278,1.441,3.258,0.17,1.278,4636.405,400.682,9.706,0.002,-4626.699,0.088,-1639.899,3.377,-1.756,Gravelly Muddy Sand,0,23.536,58.319,18.145,0,0,0,0,12.707,10.829,9.507,10.584,19.947,12.326,5.954,0,18.145
Poco11.5.9.23.2021,9.23.2021,September,Poco,Mid,11.5,"Medium Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",219.027,9.028,-0.14,1.227,1.494,3.174,0.14,1.227,4277.958,364.455,10.253,0.002,-4267.705,0.081,-1465.174,3.513,-1.813,Gravelly Muddy Sand,0,21.969,60.31,17.722,0,0,0,0,11.073,10.896,9.268,10.436,18.254,13.422,8.93,0,17.722
Poco2.9.23.2021,9.23.2021,September,Poco,Start,2,"Coarse Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic",628.845,8.011,-0.104,1.074,0.878,3.002,0.104,1.074,5268.188,491.354,22.353,0.004,-5245.835,0.063,-2446.414,3.979,-1.993,Muddy Sandy Gravel,0,30.258,56.432,13.31,0,0,0,0,16.592,13.666,9.576,9.751,16.465,10.701,9.939,0,13.31
RH24.9.23.2021,9.23.2021,September,RH,End,24,"Fine Sand,Very Poorly Sorted,Symmetrical,Mesokurtic",43.678,12.432,-0.071,0.956,2.259,3.636,0.071,0.956,4179.721,206.414,5.304,0.001,-4174.417,0.035,-1777.454,5.365,-2.423,Gravelly Muddy Sand,0,23.811,51.564,24.625,0,0,0,0,10.677,13.134,9.977,7.152,6.474,6.716,21.245,0,24.625
RH11.5.9.23.2021,9.23.2021,September,RH,Mid,11.5,"Very Coarse Sand,Very Poorly Sorted,Very Fine Skewed,Platykurtic",3044.243,9.198,-0.613,0.9,-0.001,3.201,0.613,0.9,6669.214,2220.482,19.134,0.003,-6650.08,0.034,-4904.548,5.436,-2.442,Muddy Sandy Gravel,0,52.115,33.88,14.005,0,0,0,0,38.098,14.017,8.22,5.337,5.307,5.334,9.682,0,14.005
RH4.9.23.2021,9.23.2021,September,RH,Start,4,"Coarse Sand,Very Poorly Sorted,Very Fine Skewed,Platykurtic",1553.446,8.569,-0.422,0.834,0.375,3.099,0.422,0.834,6014.864,1220.045,27.131,0.005,-5987.733,0.029,-3786.317,5.873,-2.554,Muddy Sandy Gravel,0,43.26,44.206,12.534,0,0,0,0,24.303,18.956,9.453,5.923,4.714,5.341,18.775,0,12.534
