Sample,Date,Month,Site,Location,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
AB25.6.20.2021,6.20.2021,June,AB,End,25,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",1765.945,3.172,0.547,1.466,0.462,1.665,-0.547,1.466,5090.325,446.536,236.017,0.046,-4854.308,0.372,-517.721,1.639,-0.712,Gravelly Sand,0,17.39,82.198,0.412,0,0,0,0,15.332,2.059,4.662,20.387,46.344,10.523,0.283,0,0.412
AB18.5.6.20.2021,6.20.2021,June,AB,Mid,18.5,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Platykurtic",3622.865,3.113,0.429,0.784,0.017,1.638,-0.429,0.784,5464.598,672.868,289.188,0.053,-5175.41,0.184,-1784.061,2.332,-1.222,Gravelly Sand,0,26.003,73.928,0.069,0,0,0,0,18.186,7.817,12.463,26.589,31.579,3.087,0.21,0,0.069
AB10.6.20.2021,6.20.2021,June,AB,Start,10,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Very Platykurtic",3298.621,3.636,0.313,0.607,0.008,1.863,-0.313,0.607,6078.658,690.505,234.978,0.039,-5843.68,0.082,-3694.239,3.483,-1.8,Sandy Gravel,0,36.177,63.214,0.609,0,0,0,0,25.237,10.94,9.308,9.286,34.208,8.2,2.212,0,0.609
Brid23.6.20.2021,6.20.2021,June,Brid,End,23,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Platykurtic",1918.176,2.76,0.591,0.851,0.483,1.465,-0.591,0.851,3929.853,469.441,272.597,0.069,-3657.256,0.226,-1146.508,2.105,-1.074,Gravelly Sand,0,20.16,79.473,0.368,0,0,0,0,9.734,10.426,11.161,14.038,51.009,1.149,2.115,0,0.368
Brid13.6.20.2021,6.20.2021,June,Brid,Mid,13,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Very Platykurtic",3256.382,3.567,0.376,0.593,0.009,1.835,-0.376,0.593,6132.557,651.757,257.465,0.042,-5875.092,0.083,-3775.606,3.478,-1.798,Sandy Gravel,0,34.926,64.91,0.163,0,0,0,0,26.075,8.851,9.235,10.16,37.26,6.169,2.086,0,0.163
Brid2.6.20.2021,6.20.2021,June,Brid,Start,2,"Coarse Sand,Poorly Sorted,Very Coarse Skewed,Mesokurtic",2412.548,3.104,0.616,1.052,0.234,1.634,-0.616,1.052,5237.648,494.513,280.886,0.054,-4956.762,0.287,-864.026,1.868,-0.901,Gravelly Sand,0,20.538,79.454,0.008,0,0,0,0,16.364,4.174,6.167,22.514,49.018,1.709,0.046,0,0.008
CAF25.7.15.2021,7.15.2021,July,CAF,End,25,"Medium Sand,Moderately Sorted,Very Coarse Skewed,Leptokurtic",1265.467,1.745,0.35,1.169,1.04,0.803,-0.35,1.169,1250.491,444.808,278.239,0.223,-972.251,0.511,-318.051,1.4,-0.485,Slightly Gravelly Sand,0,3.399,96.59,0.011,0,0,0,0,0,3.399,9.744,26.885,59.097,0.839,0.025,0,0.011
CAF8.7.15.2021,7.15.2021,July,CAF,Mid,8,"Coarse Sand,Moderately Sorted,Very Coarse Skewed,Leptokurtic",1687.371,1.946,0.337,1.251,0.809,0.961,-0.337,1.251,1659.419,511.787,288.017,0.174,-1371.402,0.48,-387.974,1.444,-0.53,Gravelly Sand,0,6.89,93.096,0.013,0,0,0,0,1.272,5.619,11.546,33.266,48.127,0.108,0.049,0,0.013
CAF1.7.15.2021,7.15.2021,July,CAF,Start,1,"Coarse Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",2231.251,1.752,0.125,1.253,0.704,0.809,-0.125,1.253,1473.575,604.617,315.049,0.214,-1158.526,0.531,-394.975,1.373,-0.457,Slightly Gravelly Sand,0,4.492,95.497,0.011,0,0,0,0,0.409,4.083,12.498,53.195,29.737,0.024,0.044,0,0.011
Cal22.7.15.2021,7.15.2021,July,Cal,End,22,"Coarse Sand,Moderately Sorted,Very Coarse Skewed,Leptokurtic",1300.575,1.997,0.508,1.277,0.937,0.998,-0.508,1.277,1687.518,425.66,273.148,0.162,-1414.371,0.477,-353.74,1.448,-0.534,Gravelly Sand,0,7.364,92.623,0.014,0,0,0,0,1.087,6.277,10.756,17.367,62.498,1.824,0.178,0,0.014
