Bottle,Sample,Date,Water_trt,Water_rep,Tank,TA,TA_SD,Sal,pCO2,pH_meas,temp,pH_calc,CO2,HCO3,CO3,Calcite,Arag
57,8.08.2020 Vari 2 Clam 2-3,8.08.2019,Variable,2,Animal,2158.02,4.18,33,1203.7,7.87,14,7.708,47.01,2023.43,53.9,1.3,0.83
37,8.08.2020 Vari 2 Header,8.08.2019,Variable,2,Header,2146.99,47.46,33,2180.56,7.65,14,7.459,85.17,2069.22,31.11,0.75,0.48
59,8.08.2020 Vari 3 Coro U-2,8.08.2019,Variable,3,Animal,2216.3,2.63,33,3337.54,7.66,14,7.293,130.36,2161.24,22.18,0.54,0.34
58,8.08.2020 Vari 3 Header,8.08.2019,Variable,3,Header,2167.22,0.46,33,2177.09,7.66,14,7.464,85.03,2088.06,31.73,0.77,0.49
2,8.15.2020 Acid 1  Coro U-3,8.15.2019,Acidified,1,Animal,2191.59,1.49,32,3039.64,7.68,15,7.336,115.79,2131.48,24.28,0.59,0.38
4,8.15.2020 Acid 1 Header,8.15.2019,Acidified,1,Header,2225.74,1.32,32,3330.61,7.7,15,7.304,126.87,2169.11,22.95,0.56,0.36
6,8.15.2020 Acid 2 Clam 2-3,8.15.2019,Acidified,2,Animal,2159.22,0.27,32,2828.33,7.84,15,7.36,107.74,2096.54,25.25,0.61,0.39
8,8.15.2020 Acid 2 Header,8.15.2019,Acidified,2,Header,2170.75,1.59,32,4158.52,7.48,15,7.199,158.41,2126.95,17.67,0.43,0.27
7,8.15.2020 Acid 3 Coro L-1,8.15.2019,Acidified,3,Animal,2163.52,0.28,32,1848.01,7.61,15,7.54,70.4,2070.01,37.67,0.92,0.58
15,8.15.2020 Acid 3 Header,8.15.2019,Acidified,3,Header,2165,0.09,32,2114.74,7.69,15,7.484,80.56,2082.33,33.31,0.81,0.52
14,8.15.2020 Con 1 Coro L-2,8.15.2019,Control,1,Animal,2163.24,1.37,32,2582.38,7.72,15,7.399,98.37,2094.73,27.6,0.67,0.43
11,8.15.2020 Con 1 Header,8.15.2019,Control,1,Header,2163.76,1.88,32,1266.05,7.94,15,7.696,48.23,2032.2,53,1.29,0.82
28,8.15.2020 Con 2 Coro U-1,8.15.2019,Control,2,Animal,2164.49,0.87,32,4283.22,7.96,15,7.185,163.16,2122.13,17.08,0.42,0.27
29,8.15.2020 Con 2 Header,8.15.2019,Control,2,Header,2177.79,1.85,32,1120.56,7.99,15,7.748,42.69,2029.7,59.73,1.45,0.93
27,8.15.2020 Con 3 Clam 3-2,8.15.2019,Control,3,Animal,2161.19,4.27,32,2194.41,8,15,7.467,83.59,2081.55,32.08,0.78,0.5
30,8.15.2020 Con 3 Header,8.15.2019,Control,3,Header,2295.06,120.55,32,2610.1,7.99,15,7.42,99.43,2219.78,30.67,0.75,0.48
