Water_Trt,Water_Rep,Header,Sed_Trt,Animal_Rep,Container,Individ,Total_wet,Shell_wet,Tissue_wet,Shell_dry,Tissue_dry,Total_dry
Control,3,9,In,1,25,4,0.0311,0.0208,0.0014,0.0127,0.0004,0.0131
Control,3,9,In,1,25,5,0.024,0.0115,0.0028,0.0102,0.0007,0.0109
Control,3,9,In,1,25,6,0.0041,0.0016,0.0001,0.0017,0.0001,0.0018
Control,3,9,In,1,25,7,0.017,0.0111,0.0013,0.0088,0.0001,0.0089
Control,3,9,In,1,25,8,0.0264,0.013,0.004,0.0104,0.0012,0.0116
Control,3,9,In,1,25,9,0.0258,0.0157,NA,0.0124,NA,NA
Control,3,9,In,1,25,10,0.0197,0.0101,0.0022,0.0086,0.0005,0.0091
Control,3,9,In,1,25,11,0.0083,0.0043,0.001,0.0046,0.0004,0.005
Control,3,9,In,2,26,1,0.0104,0.0058,0.0021,0.0046,0.0004,0.005
Control,3,9,In,2,26,2,0.0148,0.007,NA,0.0058,NA,NA
Control,3,9,In,2,26,3,0.0181,0.0114,0.0038,0.0091,0.0006,0.0097
Control,3,9,In,2,26,4,0.0112,0.0066,0.0016,0.0051,0.0004,0.0055
Control,3,9,In,2,26,5,0.0198,0.0111,0.0049,0.0091,0.0008,0.0099
Control,3,9,In,2,26,6,0.0174,0.0105,0.0035,0.0081,0.0005,0.0086
Control,3,9,In,2,26,7,0.0143,0.0084,NA,0.0077,NA,NA
Control,3,9,In,2,26,8,0.0152,0.0092,0.0028,0.0069,0.0004,0.0073
Control,3,9,In,2,26,9,0.0238,0.0145,0.0049,0.0103,0.0008,0.0111
Control,3,9,In,2,26,10,0.0155,0.0089,0.0034,0.0073,0.0005,0.0078
Control,3,9,In,2,26,11,0.0105,0.0083,NA,0.0068,NA,NA
Control,3,9,In,3,27,1,0.0814,0.0279,0.0086,0.0275,0.003,0.0305
Control,3,9,In,3,27,2,0.0372,0.0159,0.0014,0.0154,0.0012,0.0166
Control,3,9,In,3,27,3,0.0444,0.0158,0.0034,0.0154,0.0016,0.017
Control,3,9,In,3,27,4,0.0112,0.005,0.0004,0.005,0.0002,0.0052
Control,3,9,In,3,27,5,0.0296,0.0113,0.0007,0.0113,0.0003,0.0116
Control,3,9,In,3,27,6,0.0377,0.0154,0.0017,0.015,0.001,0.016
Control,3,9,In,3,27,7,0.0409,0.0144,0.0021,0.0142,0.0011,0.0153
Control,3,9,In,3,27,8,0.0354,0.0151,0.0019,0.0151,0.0011,0.0162
Control,3,9,In,3,27,9,0.03,0.0104,0.0038,0.0107,0.0014,0.0121
Control,3,9,In,3,27,10,0.026,0.0111,0.0016,0.0108,0.0009,0.0117
Control,3,9,In,3,27,11,0.017,0.007,0.0009,0.007,0.0006,0.0076
Control,3,9,In,3,27,12,0.0246,0.0101,0.0013,0.01,0.0008,0.0108
Control,3,9,In,3,27,13,0.0151,0.0056,0.001,0.0052,0.0006,0.0058
Control,3,9,In,3,27,14,0.0132,0.0042,0.0015,0.0043,0.001,0.0053
Control,3,9,Out,1,25,1,0.0516,0.0356,0.0033,0.0228,0.0008,0.0236
Control,3,9,Out,1,25,2,0.0143,0.0081,0.003,0.0076,0.0004,0.008
Control,3,9,Out,1,25,3,0.0757,0.0368,0.0143,0.0302,0.0026,0.0328
Control,3,9,Out,1,25,4,0.0335,0.0167,0.0075,0.0141,0.001,0.0151
Control,3,9,Out,1,25,5,0.035,0.0194,0.0043,0.0147,0.001,0.0157
Control,3,9,Out,1,25,6,0.0203,0.0101,0.0034,0.0095,0.003,0.0125
Control,3,9,Out,1,25,7,0.0093,0.004,0.0018,0.004,0.0005,0.0045
Control,3,9,Out,1,25,8,0.0602,0.0273,0.0111,0.0249,0.0023,0.0272
Control,3,9,Out,1,25,9,0.0447,0.0196,0.0117,0.0192,0.002,0.0212
Control,3,9,Out,1,25,10,0.0176,0.0085,0.0031,0.0084,0.0008,0.0092
Control,3,9,Out,1,25,11,0.0204,0.01,0.0034,0.0095,0.0006,0.0101
Control,3,9,Out,1,25,12,0.0106,0.0058,0.0021,0.0053,0.0009,0.0062
Control,3,9,Out,1,25,13,0.0096,0.0065,0.001,0.0058,0.003,0.0088
Control,3,9,Out,2,26,1,0.009,0.0051,0.0019,0.0046,0.0004,0.005
Control,3,9,Out,2,26,2,0.0139,0.0063,0.0029,0.0051,0.0005,0.0056
Control,3,9,Out,2,26,3,0.0142,0.0079,0.0028,0.0066,0.0005,0.0071
Control,3,9,Out,2,26,4,0.0093,0.0046,0.0014,0.0042,0.0004,0.0046
Control,3,9,Out,2,26,5,0.0128,0.0066,0.0023,0.0055,0.0005,0.006
Control,3,9,Out,2,26,6,0.0127,0.0069,0.0025,0.006,0.0006,0.0066
Control,3,9,Out,2,26,7,0.0178,0.0102,0.0028,0.0078,0.0004,0.0082
Control,3,9,Out,2,26,8,0.0194,0.0119,0.0029,0.0091,0.0005,0.0096
Control,3,9,Out,2,26,9,0.0229,0.0118,0.0043,0.0098,0.0008,0.0106
Control,3,9,Out,2,26,10,0.0496,0.0269,0.0125,0.0189,0.0017,0.0206
Control,3,9,Out,2,26,11,0.0233,0.0131,0.0047,0.0088,0.0008,0.0096
Control,3,9,Out,2,26,12,0.029,0.0163,0.007,0.0125,0.0011,0.0136
Control,3,9,Out,2,26,13,0.049,0.0265,0.0099,0.0174,0.0014,0.0188
Control,3,9,Out,2,26,14,0.0416,0.0241,0.0099,0.0201,0.0018,0.0219
Control,3,9,Out,3,27,1,0.0355,0.0187,0.0078,0.0145,0.0012,0.0157
Control,3,9,Out,3,27,2,0.0332,0.0181,0.0087,0.0143,0.0011,0.0154
Control,3,9,Out,3,27,3,0.0139,0.008,0.0029,0.0076,0.0004,0.008
Control,3,9,Out,3,27,4,0.0056,0.0034,0.0007,0.0034,0.0002,0.0036
Control,3,9,Out,3,27,5,0.0256,0.0145,0.0053,0.0119,0.0009,0.0128
Control,3,9,Out,3,27,6,0.0113,0.0055,0.0015,0.0052,0.0004,0.0056
Control,3,9,Out,3,27,7,0.0167,0.0096,0.0028,0.0088,0.0003,0.0091
Control,3,9,Out,3,27,8,0.0271,0.0151,0.0051,0.0135,0.001,0.0145
Control,3,9,Out,3,27,9,0.0106,0.0058,0.0016,0.0055,0.0006,0.0061
Control,3,9,Out,3,27,10,0.0232,0.0128,0.0045,0.0118,0.0009,0.0127
Control,3,9,Out,3,27,11,0.0147,0.0079,0.003,0.007,0.0005,0.0075
Control,3,9,Out,3,27,12,0.0116,0.0059,0.0021,0.006,0.0006,0.0066
Control,3,9,Out,3,27,13,0.0429,0.0236,0.0088,0.0196,0.0014,0.021
Control,3,9,Out,3,27,14,0.0322,0.0153,0.0063,0.0137,0.0007,0.0144
Variable,1,9,In,1,10,1,0.0383,0.0198,0.0087,0.0188,0.0022,0.021
Variable,1,9,In,1,10,2,0.0395,0.0247,0.007,0.0244,0.0018,0.0262
Variable,1,9,In,1,10,3,0.028,0.0167,0.0057,0.0166,0.0017,0.0183
Variable,1,9,In,1,10,4,0.0104,0.0065,0.0015,0.0063,0.0011,0.0074
Variable,1,9,In,1,10,5,0.0552,0.0324,0.0114,0.0312,0.004,0.0352
Variable,1,9,In,1,10,6,0.0201,0.0129,0.0025,0.0128,0.0011,0.0139
Variable,1,9,In,1,10,7,0.0254,0.0154,0.0051,0.0152,0.0017,0.0169
Variable,1,9,In,1,10,8,0.0112,0.0077,0.0012,0.0076,0.0005,0.0081
Variable,1,9,In,1,10,9,0.0109,0.0048,0.0025,0.0046,0.0005,0.0051
Variable,1,9,In,1,10,10,0.0185,0.0109,0.0033,0.011,0.0011,0.0121
Variable,1,9,In,1,10,11,0.0189,0.0122,0.0032,0.0121,0.001,0.0131
Variable,1,9,In,1,10,12,0.041,0.0254,0.0078,0.025,0.0022,0.0272
Variable,1,4,In,2,11,1,0.083,0.0604,0.0288,0.0692,0.008,0.0772
Variable,1,4,In,2,11,2,0.0457,0.015,0.0099,0.0093,0.0094,0.0187
Variable,1,4,In,2,11,3,0.0688,0.0312,0.012,0.0222,0.0033,0.0255
Variable,1,4,In,2,11,4,0.0446,0.0244,0.0111,0.0167,0.0026,0.0193
Variable,1,4,In,2,11,5,0.0459,0.022,0.0082,0.0193,0.0028,0.0221
Variable,1,4,In,2,11,6,0.0285,0.0122,0.0053,0.0067,0.0032,0.0099
Variable,1,4,In,2,11,7,0.0366,0.0171,0.0073,0.013,0.0011,0.0141
Variable,1,4,In,2,11,8,0.0246,0.0179,0.0065,0.0096,0.0005,0.0101
Variable,1,4,In,2,11,9,0.0246,0.0145,0.0055,0.0075,0.0018,0.0093
Variable,1,4,In,2,11,10,0.0418,0.023,0.0063,0.0248,0.0013,0.0261
Variable,1,4,In,2,11,11,0.0128,0.0095,0.003,0.0032,0.0074,0.0106
Variable,1,4,In,2,11,12,0.0233,0.0119,0.0155,0.0032,0.0035,0.0067
Variable,1,4,In,2,11,13,0.0195,0.0092,0.0023,0.0085,0.0009,0.0094
Variable,1,4,In,3,12,1,0.0341,0.0162,0.0087,0.0166,0.0021,0.0187
Variable,1,4,In,3,12,2,0.0285,0.0135,0.0057,0.0125,0.0009,0.0134
Variable,1,4,In,3,12,3,0.0042,0.002,0.0002,0.0019,0.0001,0.002
Variable,1,4,In,3,12,4,0.0544,0.0207,0.0112,0.0198,0.0019,0.0217
Variable,1,4,In,3,12,5,0.0362,0.0164,0.0086,0.0133,0.0012,0.0145
Variable,1,4,In,3,12,6,0.0294,0.0147,0.0053,0.0114,0.0008,0.0122
Variable,1,4,In,3,12,7,0.0477,0.0194,0.0111,0.0172,0.0016,0.0188
Variable,1,4,In,3,12,8,0.0278,0.0117,0.0049,0.0113,0.0008,0.0121
Variable,1,4,In,3,12,9,0.0812,0.0367,0.0221,0.0284,0.003,0.0314
Variable,1,4,In,3,12,10,0.0509,0.0221,0.0125,0.018,0.0018,0.0198
Variable,1,4,In,3,12,11,0.0314,0.0121,0.0079,0.0109,0.0015,0.0124
Variable,1,4,In,3,12,12,0.0357,0.0171,0.0082,0.0152,0.0013,0.0165
Variable,1,4,In,3,12,13,0.0177,0.0084,0.0034,0.0078,0.0007,0.0085
Variable,1,4,In,3,12,14,0.0183,0.0085,0.0039,0.0077,0.0007,0.0084
Variable,1,4,In,3,12,15,0.0132,0.0062,0.0023,0.0066,0.0006,0.0072
Variable,1,4,Out,1,10,1,0.0269,0.0123,0.004,0.0105,0.0008,0.0113
Variable,1,4,Out,1,10,2,0.0083,0.0045,0.0014,0.0041,0.0003,0.0044
Variable,1,4,Out,1,10,3,0.05,0.0268,0.0104,0.0192,0.0015,0.0207
Variable,1,4,Out,1,10,4,0.023,0.0122,0.0042,0.0107,0.0008,0.0115
Variable,1,4,Out,1,10,5,0.0118,0.0074,0.0019,0.0065,0.0004,0.0069
Variable,1,4,Out,1,10,6,0.0215,0.0136,0.005,0.0108,0.0008,0.0116
Variable,1,4,Out,1,10,7,0.0298,0.0188,0.007,0.0148,0.001,0.0158
Variable,1,4,Out,1,10,8,0.0099,0.0065,0.0006,0.0051,0.0002,0.0053
Variable,1,4,Out,1,10,9,0.02,0.0125,0.0055,0.011,0.0008,0.0118
Variable,1,4,Out,1,10,10,0.0314,0.0189,0.0066,0.0137,0.0012,0.0149
Variable,1,4,Out,1,10,11,0.0151,0.0093,0.0039,0.0074,0.0005,0.0079
Variable,1,4,Out,1,10,12,0.021,0.0146,0.0041,0.0106,0.0007,0.0113
Variable,1,4,Out,1,10,13,0.0167,0.0117,0.0034,0.0091,0.0004,0.0095
Variable,1,4,Out,1,10,14,0.0119,0.0056,0.0032,0.0051,0.0013,0.0064
Variable,1,4,Out,2,11,1,0.0037,0.002,0.0001,0.0019,0.0001,0.002
Variable,1,4,Out,2,11,2,0.0301,0.0146,0.0051,0.0139,0.0011,0.015
Variable,1,4,Out,2,11,3,0.0074,0.004,0.0008,0.0039,0.0002,0.0041
Variable,1,4,Out,2,11,4,0.009,0.0041,0.0006,0.0042,0.0002,0.0044
Variable,1,4,Out,2,11,5,0.0219,0.011,0.0032,0.0112,0.0009,0.0121
Variable,1,4,Out,2,11,6,0.0124,0.0067,0.0012,0.0065,0.0004,0.0069
Variable,1,4,Out,2,11,7,0.0126,0.0065,0.0014,0.0067,0.0003,0.007
Variable,1,4,Out,2,11,8,0.0153,0.0095,0.0018,0.0091,0.0005,0.0096
Variable,1,4,Out,2,11,9,0.0158,0.0089,0.0016,0.0088,0.0004,0.0092
Variable,1,4,Out,2,11,10,0.0583,0.0263,0.0107,0.0252,0.0019,0.0271
Variable,1,4,Out,2,11,11,0.0349,0.0163,0.0055,0.0147,0.001,0.0157
Variable,1,4,Out,2,11,12,0.0192,0.01,0.0031,0.0095,0.0006,0.0101
Variable,1,4,Out,2,11,13,0.0173,0.0081,0.0019,0.0078,0.0007,0.0085
Variable,1,4,Out,3,12,1,0.0304,0.0141,0.0051,0.0127,0.0017,0.0144
Variable,1,4,Out,3,12,2,0.0297,0.0144,0.0048,0.0131,0.001,0.0141
Variable,1,4,Out,3,12,3,0.007,0.0032,0.0003,0.0039,0.0002,0.0041
Variable,1,4,Out,3,12,4,0.0231,0.0121,NA,0.0112,NA,NA
Variable,1,4,Out,3,12,5,0.0117,0.0056,0.0012,0.0055,0.0003,0.0058
Variable,1,4,Out,3,12,6,0.0138,0.0065,0.0019,0.0062,0.0006,0.0068
Variable,1,4,Out,3,12,7,0.0129,0.0068,0.002,0.0066,0.0004,0.007
Variable,1,4,Out,3,12,8,0.0077,0.0045,NA,0.0043,NA,NA
Variable,1,4,Out,3,12,9,0.0161,0.0077,0.0026,0.0076,0.0005,0.0081
Variable,1,4,Out,3,12,10,0.035,0.0168,0.0058,0.0162,0.0013,0.0175
Variable,1,4,Out,3,12,11,0.0153,0.0081,0.0023,0.0084,0.0003,0.0087
Variable,1,4,Out,3,12,12,0.0066,0.0036,0.0009,0.0026,0.0002,0.0028
Variable,1,4,Out,3,12,13,0.0096,0.0044,0.0012,0.0047,0.0004,0.0051
Variable,1,4,Out,3,12,14,0.0178,0.0087,0.0012,0.008,0.0005,0.0085
Variable,2,5,In,1,13,1,0.0404,0.019,0.009,0.0151,0.0012,0.0163
Variable,2,5,In,1,13,2,0.0181,0.0096,0.0018,0.0081,0.0002,0.0083
Variable,2,5,In,1,13,3,0.0093,0.0052,0.0013,0.0044,0.0005,0.0049
Variable,2,5,In,1,13,4,0.0402,0.0168,0.0104,0.0134,0.0013,0.0147
Variable,2,5,In,1,13,5,0.0352,0.0192,0.0045,0.0107,0.0012,0.0119
Variable,2,5,In,1,13,6,0.0227,0.0119,0.0034,0.0101,0.0007,0.0108
Variable,2,5,In,1,13,7,0.0261,0.0123,0.0044,0.0108,0.0009,0.0117
Variable,2,5,In,1,13,8,0.0151,0.0077,0.0013,0.0071,0.0005,0.0076
Variable,2,5,In,1,13,9,0.037,0.0171,0.007,0.0141,0.0017,0.0158
Variable,2,5,In,1,13,10,0.0451,0.0192,0.0094,0.0157,0.0016,0.0173
Variable,2,5,In,1,13,11,0.02,0.0111,0.0024,0.0093,0.0008,0.0101
Variable,2,5,In,1,13,12,0.034,0.0161,0.006,0.0132,0.0014,0.0146
Variable,2,5,In,1,13,13,0.0205,0.0096,0.0031,0.0086,0.0007,0.0093
Variable,2,5,In,2,14,1,0.0092,0.0045,0.0025,0.0039,0.0004,0.0043
Variable,2,5,In,2,14,2,0.0119,0.0061,0.0022,0.0057,0.0005,0.0062
Variable,2,5,In,2,14,3,0.0197,0.0107,0.0038,0.0095,0.0006,0.0101
Variable,2,5,In,2,14,4,0.0146,0.0086,0.0022,0.0085,0.0006,0.0091
Variable,2,5,In,2,14,5,0.0102,0.0054,0.0016,0.0052,0.0002,0.0054
Variable,2,5,In,2,14,6,0.0109,0.005,0.0029,0.0047,0.0003,0.005
Variable,2,5,In,2,14,7,0.0215,0.0105,0.0061,0.0093,0.0009,0.0102
Variable,2,5,In,2,14,8,0.0134,0.0089,0.0021,0.0088,0.0006,0.0094
Variable,2,5,In,2,14,9,0.0172,0.0102,0.0029,0.0102,0.0008,0.011
Variable,2,5,In,2,14,10,0.0355,0.0196,0.0103,0.0144,0.0016,0.016
Variable,2,5,In,2,14,11,0.0337,0.0157,0.0093,0.0127,0.0015,0.0142
Variable,2,5,In,2,14,12,0.0249,0.0138,0.0041,0.0136,0.0011,0.0147
Variable,2,5,In,2,14,13,0.0472,0.0198,0.0159,0.0183,0.0024,0.0207
Variable,2,5,In,2,14,14,0.0393,0.02,0.0127,0.0161,0.0018,0.0179
Variable,2,5,In,3,15,1,0.0274,0.0127,0.0044,0.0121,0.001,0.0131
Variable,2,5,In,3,15,2,0.0223,0.0104,0.0053,0.0093,0.0009,0.0102
Variable,2,5,In,3,15,3,0.0356,0.0144,0.0082,0.0123,0.0009,0.0132
Variable,2,5,In,3,15,4,0.0162,0.0072,0.0025,0.0069,0.0005,0.0074
Variable,2,5,In,3,15,5,0.0172,0.0061,0.0039,0.007,0.0005,0.0075
Variable,2,5,In,3,15,6,0.0155,0.0059,0.0024,0.0056,0.0008,0.0064
Variable,2,5,In,3,15,7,0.0307,0.0168,0.0061,0.0126,0.0008,0.0134
Variable,2,5,In,3,15,8,0.0285,0.0136,0.0064,0.0126,0.0007,0.0133
Variable,2,5,In,3,15,9,0.0237,0.0116,0.0045,0.0112,0.0008,0.012
Variable,2,5,In,3,15,10,0.0447,0.0165,0.0109,0.0158,0.0023,0.0181
Variable,2,5,In,3,15,11,0.0272,0.012,0.0044,0.0109,0.0009,0.0118
Variable,2,5,In,3,15,12,0.031,0.0143,0.0063,0.0122,0.0009,0.0131
Variable,2,5,In,3,15,13,0.0445,0.0198,0.009,0.0154,0.0018,0.0172
Variable,2,5,In,3,15,14,0.0515,0.0188,0.0094,0.0178,0.0017,0.0195
Variable,2,5,Out,1,13,1,0.0079,0.0046,0.0008,0.0041,0.0004,0.0045
Variable,2,5,Out,1,13,2,0.0154,0.0088,0.0029,0.0076,0.0006,0.0082
Variable,2,5,Out,1,13,3,0.0246,0.0134,0.0024,0.0111,0.0007,0.0118
Variable,2,5,Out,1,13,4,0.0349,0.0189,0.008,0.0149,0.0011,0.016
Variable,2,5,Out,1,13,5,0.0104,0.0059,0.0005,0.0053,0.0001,0.0054
Variable,2,5,Out,1,13,6,0.0083,0.0035,0.0003,0.0036,0.0003,0.0039
Variable,2,5,Out,1,13,7,0.0145,0.0079,0.0027,0.0074,0.0005,0.0079
Variable,2,5,Out,1,13,8,0.0085,0.0047,0.0013,0.0044,0.0003,0.0047
Variable,2,5,Out,1,13,9,0.0204,0.0121,0.0042,0.0098,0.0007,0.0105
Variable,2,5,Out,1,13,10,0.0221,0.0119,0.0041,0.0095,0.0009,0.0104
Variable,2,5,Out,1,13,11,0.0528,0.0275,0.0143,0.0216,0.002,0.0236
Variable,2,5,Out,1,13,12,0.0259,0.0138,0.0068,0.0112,0.001,0.0122
Variable,2,5,Out,1,13,13,0.0294,0.016,0.0078,0.0129,0.0011,0.014
Variable,2,5,Out,2,14,1,0.0275,0.0152,0.0057,0.0133,0.0008,0.0141
Variable,2,5,Out,2,14,2,0.0237,0.012,0.0045,0.0087,0.0009,0.0096
Variable,2,5,Out,2,14,3,0.0288,0.0153,0.0056,0.0108,0.0008,0.0116
Variable,2,5,Out,2,14,4,0.011,0.0058,0.0031,0.005,0.0004,0.0054
Variable,2,5,Out,2,14,5,0.0143,0.0078,0.0024,0.0066,0.0005,0.0071
Variable,2,5,Out,2,14,6,0.0226,0.0128,0.0044,0.0109,0.0007,0.0116
Variable,2,5,Out,2,14,7,0.0173,0.0099,0.0027,0.0092,0.0005,0.0097
Variable,2,5,Out,2,14,8,0.0111,0.0058,0.0018,0.0057,0.0003,0.006
Variable,2,5,Out,2,14,9,0.0111,0.0056,0.0023,0.0056,0.0004,0.006
Variable,2,5,Out,2,14,10,0.0265,0.0153,0.0053,0.0136,0.0008,0.0144
Variable,2,5,Out,2,14,11,0.0373,0.0199,0.0063,0.0163,0.0144,0.0307
Variable,2,5,Out,2,14,12,0.0295,0.0149,0.0055,0.0141,0.001,0.0151
Variable,2,5,Out,2,14,13,0.0071,0.0047,0.0005,0.0046,0.0002,0.0048
Variable,2,5,Out,2,14,14,0.0226,0.0116,0.0045,0.0109,0.0008,0.0117
Variable,2,5,Out,3,15,1,0.0347,0.018,0.0081,0.016,0.0016,0.0176
Variable,2,5,Out,3,15,2,0.0317,0.0161,0.0059,0.0142,0.0014,0.0156
Variable,2,5,Out,3,15,3,0.0435,0.0209,0.0099,0.0183,0.0019,0.0202
Variable,2,5,Out,3,15,4,0.0294,0.0165,0.0063,0.0114,0.0012,0.0126
Variable,2,5,Out,3,15,5,0.0433,0.0199,0.0098,0.0179,0.0018,0.0197
Variable,2,5,Out,3,15,6,0.0066,0.0038,0.001,0.0034,0.0006,0.004
Variable,2,5,Out,3,15,7,0.0092,0.0052,0.0013,0.0052,0.0002,0.0054
Variable,2,5,Out,3,15,8,0.0112,0.007,0.0006,0.0058,0.0006,0.0064
Variable,2,5,Out,3,15,9,0.0649,0.0293,0.0154,0.022,0.0029,0.0249
Variable,2,5,Out,3,15,10,0.0231,0.0135,0.0053,0.012,0.0007,0.0127
Variable,2,5,Out,3,15,11,0.0117,0.0067,0.002,0.0067,0.0003,0.007
Variable,2,5,Out,3,15,12,0.0245,0.0117,0.0026,0.0112,0.0008,0.012
Variable,2,5,Out,3,15,13,0.0143,0.0084,0.0018,0.0068,0.0006,0.0074
Variable,2,5,Out,3,15,14,0.0122,0.0079,0.0013,0.007,0.0004,0.0074
Variable,3,7,In,1,19,1,0.0708,0.0319,0.0197,0.0258,0.0037,0.0295
Variable,3,7,In,1,19,2,0.0082,0.0038,0.0004,0.0039,0.0003,0.0042
Variable,3,7,In,1,19,3,0.0439,0.0211,0.0092,0.0183,0.0011,0.0194
Variable,3,7,In,1,19,4,0.0071,0.0036,0.0012,0.0034,0.0003,0.0037
Variable,3,7,In,1,19,5,0.0214,0.01,0.0053,0.0087,0.0009,0.0096
Variable,3,7,In,1,19,6,0.029,0.0147,0.0049,0.0131,0.0009,0.014
Variable,3,7,In,1,19,7,0.0253,0.012,0.0036,0.0114,0.0006,0.012
Variable,3,7,In,1,19,8,0.0401,0.0207,0.009,0.016,0.0012,0.0172
Variable,3,7,In,1,19,9,0.0125,0.0062,0.0016,0.0063,0.0005,0.0068
Variable,3,7,In,1,19,10,0.0188,0.009,0.0032,0.008,0.0006,0.0086
Variable,3,7,In,1,19,11,0.0148,0.0084,0.0016,0.0084,0.0005,0.0089
Variable,3,7,In,1,19,12,0.0109,0.006,0.0019,0.0055,0.0006,0.0061
Variable,3,7,In,1,19,13,0.0178,0.0092,0.0031,0.0082,0.0006,0.0088
Variable,3,7,In,1,19,14,0.0099,0.0048,0.0009,0.0046,0.0004,0.005
Variable,3,7,In,2,20,1,0.0058,0.002,0.0005,0.0024,0.0005,0.0029
Variable,3,7,In,2,20,2,0.0081,0.0045,0.001,0.0045,0.0003,0.0048
Variable,3,7,In,2,20,3,0.0139,0.0073,0.0024,0.0073,0.0003,0.0076
Variable,3,7,In,2,20,4,0.0162,0.0074,0.0036,0.0072,0.0007,0.0079
Variable,3,7,In,2,20,5,0.017,0.0089,0.0027,0.0089,0.0008,0.0097
Variable,3,7,In,2,20,6,0.012,0.0061,0.0017,0.0061,0.0005,0.0066
Variable,3,7,In,2,20,7,0.0223,0.0123,0.0043,0.0107,0.0008,0.0115
Variable,3,7,In,2,20,8,0.0184,0.0138,0.0038,0.0091,0.0007,0.0098
Variable,3,7,In,2,20,9,0.0257,0.014,0.005,0.0134,0.0011,0.0145
Variable,3,7,In,2,20,10,0.0844,0.0399,0.0197,0.0349,0.0034,0.0383
Variable,3,7,In,2,20,11,0.0218,0.012,0.004,0.0105,0.0007,0.0112
Variable,3,7,In,2,20,12,0.0215,0.0117,0.0045,0.0107,0.0009,0.0116
Variable,3,7,In,2,20,13,0.0379,0.0201,0.0083,0.0194,0.0018,0.0212
Variable,3,7,In,2,20,14,0.0387,0.0165,0.0072,0.0145,0.0016,0.0161
Variable,3,7,In,3,21,1,0.0536,0.0271,0.0083,0.0202,0.0016,0.0218
Variable,3,7,In,3,21,2,0.1073,0.0391,0.0221,0.0327,0.0037,0.0364
Variable,3,7,In,3,21,3,0.055,0.0226,0.0115,0.019,0.0021,0.0211
Variable,3,7,In,3,21,4,0.0063,0.0042,0.0004,0.0033,0.0003,0.0036
Variable,3,7,In,3,21,5,0.0493,0.026,0.0087,0.0193,0.0015,0.0208
Variable,3,7,In,3,21,6,0.0172,0.0074,0.0025,0.0069,0.0006,0.0075
Variable,3,7,In,3,21,7,0.0468,0.0127,0.008,0.0175,0.0015,0.019
Variable,3,7,In,3,21,8,0.0211,0.0099,0.0048,0.0084,0.0012,0.0096
Variable,3,7,In,3,21,9,0.0104,0.0053,0.0014,0.0046,0.0004,0.005
Variable,3,7,In,3,21,10,0.0253,0.0139,0.0048,0.0111,0.001,0.0121
Variable,3,7,In,3,21,11,0.0215,0.0108,0.0045,0.0101,0.002,0.0121
Variable,3,7,In,3,21,12,0.0212,0.0122,0.0048,0.0089,0.0015,0.0104
Variable,3,7,In,3,21,13,0.0164,0.0097,0.0026,0.0079,0.0006,0.0085
Variable,3,7,In,3,21,14,0.0201,0.0109,0.0024,0.0098,0.0007,0.0105
Variable,3,7,Out,1,19,1,0.0113,0.0069,0.0009,0.0068,0.0008,0.0076
Variable,3,7,Out,1,19,2,0.0056,0.004,0.0001,0.0034,0.0006,0.004
Variable,3,7,Out,1,19,3,0.0089,0.0067,0.0003,0.0066,0.0003,0.0069
Variable,3,7,Out,1,19,4,0.0108,0.0073,0.0006,0.0073,0.006,0.0133
Variable,3,7,Out,1,19,5,0.0112,0.0075,0.0007,0.0076,0.0004,0.008
Variable,3,7,Out,1,19,6,0.0099,0.0065,0.0004,0.0064,0.0004,0.0068
Variable,3,7,Out,1,19,7,0.0129,0.0099,0.0009,0.0098,0.0006,0.0104
Variable,3,7,Out,1,19,8,0.0192,0.0151,0.0011,0.0142,0.0008,0.015
Variable,3,7,Out,1,19,9,0.0196,0.0133,0.0016,0.0134,0.001,0.0144
Variable,3,7,Out,1,19,10,0.015,0.0107,0.001,0.0106,0.0007,0.0113
Variable,3,7,Out,1,19,11,0.0208,0.0149,0.0012,0.0148,0.0009,0.0157
Variable,3,7,Out,1,19,12,0.023,0.0169,0.0018,0.0163,0.0011,0.0174
Variable,3,7,Out,1,19,13,0.0159,0.0128,0.0006,0.0127,0.0004,0.0131
Variable,3,7,Out,1,19,14,0.0228,0.0172,0.0016,0.0173,0.0012,0.0185
Variable,3,7,Out,3,21,1,0.006,0.0031,0.0006,0.0028,0.0003,0.0031
Variable,3,7,Out,3,21,2,0.0396,0.0182,0.0064,0.0159,0.0012,0.0171
Variable,3,7,Out,3,21,3,0.0177,NA,NA,0.0066,NA,NA
Variable,3,7,Out,3,21,4,0.006,0.003,0.0004,0.0029,0.0002,0.0031
Variable,3,7,Out,3,21,5,0.0131,0.0065,0.0012,0.0065,0.0001,0.0066
Variable,3,7,Out,3,21,6,0.0309,0.0129,0.0031,0.011,0.0009,0.0119
Variable,3,7,Out,3,21,7,0.0207,0.0087,0.002,0.0079,0.0004,0.0083
Variable,3,7,Out,3,21,8,0.005,0.0027,0.0001,0.0023,0.0001,0.0024
Variable,3,7,Out,3,21,9,0.0305,NA,NA,0.0172,NA,NA
Variable,3,7,Out,3,21,10,0.0402,0.019,0.0046,0.0168,0.001,0.0178
Variable,3,7,Out,3,21,11,0.0085,0.004,0.0005,0.004,0.0002,0.0042
Variable,3,7,Out,3,21,12,0.0111,NA,NA,0.0052,NA,NA
Variable,3,7,Out,3,21,13,0.0079,0.0041,0.0004,0.004,0.0001,0.0041
